file,name,name_length,is_class,has_underscore,label
github_repos\fastapi\docs_src\body\tutorial004.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body\tutorial004_py310.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_fields\tutorial001.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_fields\tutorial001_an.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_fields\tutorial001_an_py310.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_fields\tutorial001_an_py39.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_fields\tutorial001_py310.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_multiple_params\tutorial001.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_multiple_params\tutorial001_an.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_multiple_params\tutorial001_an_py310.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_multiple_params\tutorial001_an_py39.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_multiple_params\tutorial001_py310.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_multiple_params\tutorial002.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_multiple_params\tutorial002.py,User,4,True,False,used
github_repos\fastapi\docs_src\body_multiple_params\tutorial002_py310.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_multiple_params\tutorial002_py310.py,User,4,True,False,used
github_repos\fastapi\docs_src\body_multiple_params\tutorial003.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_multiple_params\tutorial003.py,User,4,True,False,used
github_repos\fastapi\docs_src\body_multiple_params\tutorial003_an.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_multiple_params\tutorial003_an.py,User,4,True,False,used
github_repos\fastapi\docs_src\body_multiple_params\tutorial003_an_py310.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_multiple_params\tutorial003_an_py310.py,User,4,True,False,used
github_repos\fastapi\docs_src\body_multiple_params\tutorial003_an_py39.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_multiple_params\tutorial003_an_py39.py,User,4,True,False,used
github_repos\fastapi\docs_src\body_multiple_params\tutorial003_py310.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_multiple_params\tutorial003_py310.py,User,4,True,False,used
github_repos\fastapi\docs_src\body_multiple_params\tutorial004.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_multiple_params\tutorial004.py,User,4,True,False,used
github_repos\fastapi\docs_src\body_multiple_params\tutorial004_an.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_multiple_params\tutorial004_an.py,User,4,True,False,used
github_repos\fastapi\docs_src\body_multiple_params\tutorial004_an_py310.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_multiple_params\tutorial004_an_py310.py,User,4,True,False,used
github_repos\fastapi\docs_src\body_multiple_params\tutorial004_an_py39.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_multiple_params\tutorial004_an_py39.py,User,4,True,False,used
github_repos\fastapi\docs_src\body_multiple_params\tutorial004_py310.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_multiple_params\tutorial004_py310.py,User,4,True,False,used
github_repos\fastapi\docs_src\body_multiple_params\tutorial005.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_multiple_params\tutorial005_an.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_multiple_params\tutorial005_an_py310.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_multiple_params\tutorial005_an_py39.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_multiple_params\tutorial005_py310.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_nested_models\tutorial001.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_nested_models\tutorial001_py310.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_nested_models\tutorial002.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_nested_models\tutorial002_py310.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_nested_models\tutorial002_py39.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_nested_models\tutorial003.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_nested_models\tutorial003_py310.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_nested_models\tutorial003_py39.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_nested_models\tutorial004.py,Image,5,True,False,used
github_repos\fastapi\docs_src\body_nested_models\tutorial004.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_nested_models\tutorial004_py310.py,Image,5,True,False,used
github_repos\fastapi\docs_src\body_nested_models\tutorial004_py310.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_nested_models\tutorial004_py39.py,Image,5,True,False,used
github_repos\fastapi\docs_src\body_nested_models\tutorial004_py39.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_nested_models\tutorial005.py,Image,5,True,False,used
github_repos\fastapi\docs_src\body_nested_models\tutorial005.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_nested_models\tutorial005_py310.py,Image,5,True,False,used
github_repos\fastapi\docs_src\body_nested_models\tutorial005_py310.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_nested_models\tutorial005_py39.py,Image,5,True,False,used
github_repos\fastapi\docs_src\body_nested_models\tutorial005_py39.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_nested_models\tutorial006.py,Image,5,True,False,used
github_repos\fastapi\docs_src\body_nested_models\tutorial006.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_nested_models\tutorial006_py310.py,Image,5,True,False,used
github_repos\fastapi\docs_src\body_nested_models\tutorial006_py310.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_nested_models\tutorial006_py39.py,Image,5,True,False,used
github_repos\fastapi\docs_src\body_nested_models\tutorial006_py39.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_nested_models\tutorial007.py,Image,5,True,False,used
github_repos\fastapi\docs_src\body_nested_models\tutorial007.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_nested_models\tutorial007.py,Offer,5,True,False,used
github_repos\fastapi\docs_src\body_nested_models\tutorial007_py310.py,Image,5,True,False,used
github_repos\fastapi\docs_src\body_nested_models\tutorial007_py310.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_nested_models\tutorial007_py310.py,Offer,5,True,False,used
github_repos\fastapi\docs_src\body_nested_models\tutorial007_py39.py,Image,5,True,False,used
github_repos\fastapi\docs_src\body_nested_models\tutorial007_py39.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_nested_models\tutorial007_py39.py,Offer,5,True,False,used
github_repos\fastapi\docs_src\body_nested_models\tutorial008.py,Image,5,True,False,used
github_repos\fastapi\docs_src\body_nested_models\tutorial008_py39.py,Image,5,True,False,used
github_repos\fastapi\docs_src\body_updates\tutorial001.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_updates\tutorial001_py310.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_updates\tutorial001_py39.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_updates\tutorial002.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_updates\tutorial002_py310.py,Item,4,True,False,used
github_repos\fastapi\docs_src\body_updates\tutorial002_py39.py,Item,4,True,False,used
github_repos\fastapi\docs_src\conditional_openapi\tutorial001.py,root,4,False,False,used
github_repos\fastapi\docs_src\conditional_openapi\tutorial001.py,Settings,8,True,False,used
github_repos\fastapi\docs_src\cookie_param_models\tutorial001.py,Cookies,7,True,False,used
github_repos\fastapi\docs_src\cookie_param_models\tutorial001_an.py,Cookies,7,True,False,used
github_repos\fastapi\docs_src\cookie_param_models\tutorial001_an_py310.py,Cookies,7,True,False,used
github_repos\fastapi\docs_src\cookie_param_models\tutorial001_an_py39.py,Cookies,7,True,False,used
github_repos\fastapi\docs_src\cookie_param_models\tutorial001_py310.py,Cookies,7,True,False,used
github_repos\fastapi\docs_src\cookie_param_models\tutorial002.py,Cookies,7,True,False,used
github_repos\fastapi\docs_src\cookie_param_models\tutorial002_an.py,Cookies,7,True,False,used
github_repos\fastapi\docs_src\cookie_param_models\tutorial002_an_py310.py,Cookies,7,True,False,used
github_repos\fastapi\docs_src\cookie_param_models\tutorial002_an_py39.py,Cookies,7,True,False,used
github_repos\fastapi\docs_src\cookie_param_models\tutorial002_pv1.py,Cookies,7,True,False,used
github_repos\fastapi\docs_src\cookie_param_models\tutorial002_pv1.py,Config,6,True,False,unused
github_repos\fastapi\docs_src\cookie_param_models\tutorial002_pv1_an.py,Cookies,7,True,False,used
github_repos\fastapi\docs_src\cookie_param_models\tutorial002_pv1_an.py,Config,6,True,False,unused
github_repos\fastapi\docs_src\cookie_param_models\tutorial002_pv1_an_py310.py,Cookies,7,True,False,used
github_repos\fastapi\docs_src\cookie_param_models\tutorial002_pv1_an_py310.py,Config,6,True,False,unused
github_repos\fastapi\docs_src\cookie_param_models\tutorial002_pv1_an_py39.py,Cookies,7,True,False,used
github_repos\fastapi\docs_src\cookie_param_models\tutorial002_pv1_an_py39.py,Config,6,True,False,unused
github_repos\fastapi\docs_src\cookie_param_models\tutorial002_pv1_py310.py,Cookies,7,True,False,used
github_repos\fastapi\docs_src\cookie_param_models\tutorial002_pv1_py310.py,Config,6,True,False,unused
github_repos\fastapi\docs_src\cookie_param_models\tutorial002_py310.py,Cookies,7,True,False,used
github_repos\fastapi\docs_src\custom_request_and_route\tutorial001.py,get_route_handler,17,False,True,used
github_repos\fastapi\docs_src\custom_request_and_route\tutorial001.py,GzipRequest,11,True,False,used
github_repos\fastapi\docs_src\custom_request_and_route\tutorial001.py,GzipRoute,9,True,False,used
github_repos\fastapi\docs_src\custom_request_and_route\tutorial002.py,get_route_handler,17,False,True,used
github_repos\fastapi\docs_src\custom_request_and_route\tutorial002.py,ValidationErrorLoggingRoute,27,True,False,used
github_repos\fastapi\docs_src\custom_request_and_route\tutorial003.py,get_route_handler,17,False,True,used
github_repos\fastapi\docs_src\custom_request_and_route\tutorial003.py,TimedRoute,10,True,False,used
github_repos\fastapi\docs_src\custom_response\tutorial004.py,generate_html_response,22,False,True,used
github_repos\fastapi\docs_src\custom_response\tutorial008.py,main,4,False,False,used
github_repos\fastapi\docs_src\custom_response\tutorial008.py,iterfile,8,False,False,used
github_repos\fastapi\docs_src\custom_response\tutorial009c.py,render,6,False,False,used
github_repos\fastapi\docs_src\custom_response\tutorial009c.py,CustomORJSONResponse,20,True,False,used
github_repos\fastapi\docs_src\dataclasses\tutorial001.py,Item,4,True,False,unused
github_repos\fastapi\docs_src\dataclasses\tutorial002.py,Item,4,True,False,unused
github_repos\fastapi\docs_src\dataclasses\tutorial003.py,get_authors,11,False,True,used
github_repos\fastapi\docs_src\dataclasses\tutorial003.py,Item,4,True,False,unused
github_repos\fastapi\docs_src\dataclasses\tutorial003.py,Author,6,True,False,unused
github_repos\fastapi\docs_src\debugging\tutorial001.py,root,4,False,False,used
github_repos\fastapi\docs_src\dependencies\tutorial002.py,__init__,8,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial002.py,CommonQueryParams,17,True,False,unused
github_repos\fastapi\docs_src\dependencies\tutorial002_an.py,__init__,8,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial002_an.py,CommonQueryParams,17,True,False,unused
github_repos\fastapi\docs_src\dependencies\tutorial002_an_py310.py,__init__,8,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial002_an_py310.py,CommonQueryParams,17,True,False,unused
